Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_Latinx,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown,Tests_Total,Tests_White,Tests_Black,Tests_Latinx,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
2021-03-07,WA,344532,96572,10932,62537,12525,3231,3691,5823,3133,146088,62537,135907,146088,5041,3571,161,596,383,107,81,59,71,12,596,4433,12,19599,6056,623,2621,871,236,355,239,220,8378,2621,8600,8378,5393756,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,WI,621654,481041,40549,0,15553,7580,0,0,34002,42929,63651,470050,87953,7106,6144,478,0,127,97,0,0,106,154,389,6404,313,26457,18668,3023,2491,563,410,0,0,312,990,2491,22976,990,7080595,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,WV,133445,111202,4623,0,0,0,0,0,3092,14528,0,0,133445,2325,2049,57,0,0,0,0,0,34,185,0,0,2325,0,0,0,0,0,0,0,0,0,0,0,0,0,2236551,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,WY,54764,28117,425,4134,281,2250,134,0,1726,21292,4134,32933,21292,682,606,2,58,6,51,1,0,8,11,58,613,11,0,0,0,0,0,0,0,0,0,0,0,0,0,704836,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,AK,59030,18188,1494,0,2437,12212,1506,4445,7109,11639,3188,29540,26302,303,126,9,0,29,111,17,4,1,6,12,280,11,1285,418,45,0,116,335,126,67,53,125,66,935,284,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,AL,497154,159154,82171,0,2248,0,0,0,37912,215669,12245,165460,319449,10029,4674,2193,0,24,0,0,0,298,2840,135,6002,3892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,AR,323353,206422,50642,0,2900,1061,3351,1802,16371,40804,34179,289174,0,5261,4126,778,0,36,18,56,13,200,34,178,5083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,AZ,819954,305803,25554,243201,11798,40371,0,0,46776,146451,243201,430302,146451,16089,7917,423,4619,217,1341,0,0,460,1112,4619,10358,1112,57697,26575,2466,18695,1007,4474,0,0,2551,1929,18695,37073,1929,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,CA,3484963,541927,110115,1494376,184765,8915,15228,41858,305557,782222,1494376,1208365,782222,52775,16205,3209,23768,5958,173,311,658,1092,1401,23768,27606,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,49028048,9058324,1709117,9326899,3930970,97663,219743,73247,6275590,18336495,9326899,21364654,18336495
2021-03-03,CO,431670,179488,12562,118537,6302,2504,1252,6475,3281,101269,118537,211864,101269,5970,3851,192,1205,114,37,9,184,38,340,1205,4425,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
